Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed?	Ct_replicate1	TIRRko_replicate1	Ct_replicate2	TIRR_replicate2	Average_ct	Average_TIRR	TIRRdel/ct	log2(TIRR/ct)
sp|Q06481-3|APLP2_HUMAN	APLP2	 Isoform 3 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2	814	33	C	10060.4	7535.57	11425.9	8245.88	10743.15	7890.725	0.734488953	-0.445187302
sp|P18077|RL35A_HUMAN	RPL35A	 60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2	1822	11	C	3967.55	2928.17	4666.83	3413.35	4317.19	3170.76	0.734449955	-0.445263906
sp|Q969T3|SNX21_HUMAN	SNX21	 Sorting nexin-21 OS=Homo sapiens GN=SNX21 PE=2 SV=1	6227	2	C	219.377	101.22	226.696	226.367	223.0365	163.7935	0.734379799	-0.445401721
sp|Q9H334|FOXP1_HUMAN	FOXP1	 Forkhead box protein P1 OS=Homo sapiens GN=FOXP1 PE=1 SV=1	4269	8	C	3210.76	2106.27	3605.03	2898.85	3407.895	2502.56	0.734341874	-0.445476227
sp|P26012|ITB8_HUMAN	ITGB8	 Integrin beta-8 OS=Homo sapiens GN=ITGB8 PE=1 SV=1	384	7	C	2670.83	1613.32	2868.94	2454.56	2769.885	2033.94	0.734304854	-0.445548959
sp|P78312-2|F193A_HUMAN	FAM193A	 Isoform 2 of Protein FAM193A OS=Homo sapiens GN=FAM193A	3275	1	C	287.289	222.262	372.277	261.959	329.783	242.1105	0.734150942	-0.445851383
sp|Q9BTD8-2|RBM42_HUMAN	RBM42	 Isoform 2 of RNA-binding protein 42 OS=Homo sapiens GN=RBM42	11	10	C	2378.44	1601.33	2611.39	2061.37	2494.915	1831.35	0.734033023	-0.446083125
sp|Q07864|DPOE1_HUMAN	POLE	 DNA polymerase epsilon catalytic subunit A OS=Homo sapiens GN=POLE PE=1 SV=5	552	6	C	1062.88	683.611	1100.49	904.294	1081.685	793.9525	0.733996034	-0.446155827
sp|Q8IWE5|PKHM2_HUMAN	PLEKHM2	 Pleckstrin homology domain-containing family M member 2 OS=Homo sapiens GN=PLEKHM2 PE=1 SV=2	2954	12	C	3185.37	2045.34	3494.91	2856.92	3340.14	2451.13	0.733840498	-0.446461572
##sp|O94973-2|AP2A2_HUMAN	AP2A2	 Isoform 2 of AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2	6893	2	C	804.51	507.938	911.706	751.43	858.108	629.684	0.733805069	-0.446531225
sp|Q9NV88|INT9_HUMAN	INTS9	 Integrator complex subunit 9 OS=Homo sapiens GN=INTS9 PE=1 SV=2	5727	7	C	2734.09	1769.76	3032.04	2461.02	2883.065	2115.39	0.733729555	-0.446679696
sp|Q8IXK0-4|PHC2_HUMAN	PHC2	 Isoform 4 of Polyhomeotic-like protein 2 OS=Homo sapiens GN=PHC2	2731	13	C	5225.57	3763.12	5781.56	4311.71	5503.565	4037.415	0.733599948	-0.446934557
sp|Q14BN4-2|SLMAP_HUMAN	SLMAP	 Isoform 2 of Sarcolemmal membrane-associated protein OS=Homo sapiens GN=SLMAP	3632	21	C	3617.18	2069.07	3989.27	3510.17	3803.225	2789.62	0.733488027	-0.447154679
sp|Q13425|SNTB2_HUMAN	SNTB2	 Beta-2-syntrophin OS=Homo sapiens GN=SNTB2 PE=1 SV=1	1589	15	C	3120.33	2149.26	3419.18	2645.41	3269.755	2397.335	0.733184902	-0.447751017
sp|O75094|SLIT3_HUMAN	SLIT3	 Slit homolog 3 protein OS=Homo sapiens GN=SLIT3 PE=2 SV=3	4617	7	C	2150.52	1767.76	2804.07	1864.61	2477.295	1816.185	0.733132308	-0.447854511
sp|Q9NQB0-10|TF7L2_HUMAN	TCF7L2	 Isoform 10 of Transcription factor 7-like 2 OS=Homo sapiens GN=TCF7L2	5502	3	C	665.392	409.794	716.574	603.245	690.983	506.5195	0.733041913	-0.448032406
sp|O43709|WBS22_HUMAN	WBSCR22	 Uncharacterized methyltransferase WBSCR22 OS=Homo sapiens GN=WBSCR22 PE=1 SV=2	1513	5	C	1330.87	782.172	1458.49	1262.45	1394.68	1022.311	0.733007572	-0.448099994
sp|Q9HCM4-3|E41L5_HUMAN	EPB41L5	 Isoform 3 of Band 4.1-like protein 5 OS=Homo sapiens GN=EPB41L5	5513	4	C	504.123	243.186	510.598	500.573	507.3605	371.8795	0.732968964	-0.448175983
sp|Q13123|RED_HUMAN	IK	 Protein Red OS=Homo sapiens GN=IK PE=1 SV=3	212	23	C	7474.69	5080.76	8234.04	6432.95	7854.365	5756.855	0.732949767	-0.448213768
sp|Q9UBS9|OSPT_HUMAN	C1orf9	 Protein osteopotentia homolog OS=Homo sapiens GN=C1orf9 PE=2 SV=1	4029	13	C	4462.33	3074.94	4741.58	3669.58	4601.955	3372.26	0.732788565	-0.448531104
sp|Q6P4E1-2|CASC4_HUMAN	CASC4	 Isoform 2 of Protein CASC4 OS=Homo sapiens GN=CASC4	5221	22	C	5556.71	3836.62	6351.6	4888.21	5954.155	4362.415	0.732667356	-0.448769757
sp|Q8IZ21-2|PHAR4_HUMAN	PHACTR4	 Isoform 2 of Phosphatase and actin regulator 4 OS=Homo sapiens GN=PHACTR4	1752	19	C	2759.07	1697.24	3014.81	2532.06	2886.94	2114.65	0.732488379	-0.449122224
sp|P53985|MOT1_HUMAN	SLC16A1	 Monocarboxylate transporter 1 OS=Homo sapiens GN=SLC16A1 PE=1 SV=3	4289	10	C	4089.74	3046.11	4859.67	3507.17	4474.705	3276.64	0.732258328	-0.4495754
sp|P52294|IMA1_HUMAN	KPNA1	 Importin subunit alpha-1 OS=Homo sapiens GN=KPNA1 PE=1 SV=3	4782	10	C	2268.27	1522.5	2512.16	1977.09	2390.215	1749.795	0.732065944	-0.449954484
sp|Q14678|KANK1_HUMAN	KANK1	 KN motif and ankyrin repeat domain-containing protein 1 OS=Homo sapiens GN=KANK1 PE=1 SV=3	1688	8	C	2072.08	1493.52	2422.01	1795.48	2247.045	1644.5	0.731850052	-0.450380008
sp|Q5T5Y3-3|CAMP1_HUMAN	CAMSAP1	 Isoform 3 of Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens GN=CAMSAP1	206	15	C	3082.83	2116.58	3505.99	2705.2	3294.41	2410.89	0.731812373	-0.450454287
sp|P17181|INAR1_HUMAN	IFNAR1	 Interferon alpha/beta receptor 1 OS=Homo sapiens GN=IFNAR1 PE=1 SV=3	6969	2	C	160.796	77.1861	175.847	169.135	168.3215	123.16055	0.731698268	-0.450679251
sp|Q9H1J1-2|REN3A_HUMAN	UPF3A	 Isoform 2 of Regulator of nonsense transcripts 3A OS=Homo sapiens GN=UPF3A	6750	2	C	574.601	485.185	725.047	465.659	649.824	475.422	0.731616561	-0.450840363
sp|Q8N3X1-2|FNBP4_HUMAN	FNBP4	 Isoform 2 of Formin-binding protein 4 OS=Homo sapiens GN=FNBP4	3024	12	C	3151.73	2081.54	3457.61	2752.1	3304.67	2416.82	0.731334747	-0.451396185
sp|Q6XZF7|DNMBP_HUMAN	DNMBP	 Dynamin-binding protein OS=Homo sapiens GN=DNMBP PE=1 SV=1	1201	50	C	14263.1	9050.3	15557	12756.1	14910.05	10903.2	0.731265153	-0.451533479
sp|Q96RL1-3|UIMC1_HUMAN	UIMC1	 Isoform 3 of BRCA1-A complex subunit RAP80 OS=Homo sapiens GN=UIMC1	1765	7	C	1315.44	867.258	1515.57	1202.88	1415.505	1035.069	0.731236555	-0.451589901
sp|Q9NPF0|CD320_HUMAN	CD320	 CD320 antigen OS=Homo sapiens GN=CD320 PE=1 SV=1	3670	6	C	682.839	392.139	721.396	634.387	702.1175	513.263	0.731021517	-0.452014223
sp|O14653-2|GOSR2_HUMAN	GOSR2	 Isoform B of Golgi SNAP receptor complex member 2 OS=Homo sapiens GN=GOSR2	7010	6	C	1850.12	1369.43	2274.02	1645.33	2062.07	1507.38	0.731003312	-0.452050152
sp|Q9NVK5|FGOP2_HUMAN	FGFR1OP2	 FGFR1 oncogene partner 2 OS=Homo sapiens GN=FGFR1OP2 PE=1 SV=1	1801	2	C	339.413	160.132	332.99	331.395	336.2015	245.7635	0.731000605	-0.452055494
sp|Q92797|SYMPK_HUMAN	SYMPK	 Symplekin OS=Homo sapiens GN=SYMPK PE=1 SV=2	314	35	C	7930.18	5005.25	8872.14	7276.53	8401.16	6140.89	0.730957392	-0.452140783
sp|O60291-2|MGRN1_HUMAN	MGRN1	 Isoform 2 of E3 ubiquitin-protein ligase MGRN1 OS=Homo sapiens GN=MGRN1	5535	8	C	2110.35	1504.36	2341.23	1748.76	2225.79	1626.56	0.730778735	-0.452493442
sp|Q6ZRP7|QSOX2_HUMAN	QSOX2	 Sulfhydryl oxidase 2 OS=Homo sapiens GN=QSOX2 PE=1 SV=3	1490	24	C	8931.12	6406.11	10048	7457.6	9489.56	6931.855	0.730471697	-0.453099719
sp|Q9HD67|MYO10_HUMAN	MYO10	 Myosin-X OS=Homo sapiens GN=MYO10 PE=1 SV=3	3663	10	C	1782.35	1103.51	1961.07	1630.7	1871.71	1367.105	0.730404283	-0.45323287
sp|Q06210-2|GFPT1_HUMAN	GFPT1	 Isoform 2 of Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1	2011	41	C	12593.8	8119.24	14284.4	11508.2	13439.1	9813.72	0.7302364	-0.453564511
sp|Q7Z5J4|RAI1_HUMAN	RAI1	 Retinoic acid-induced protein 1 OS=Homo sapiens GN=RAI1 PE=1 SV=2	500	17	C	5038.51	3271.86	5439.42	4375.8	5238.965	3823.83	0.729882715	-0.454263438
sp|P56377|AP1S2_HUMAN	AP1S2	 AP-1 complex subunit sigma-2 OS=Homo sapiens GN=AP1S2 PE=1 SV=1	1816	3	C	1025.69	703.185	1135.92	874.357	1080.805	788.771	0.729799548	-0.454427838
sp|O43808|PM34_HUMAN	SLC25A17	 Peroxisomal membrane protein PMP34 OS=Homo sapiens GN=SLC25A17 PE=1 SV=1	1774	5	C	1467.59	986.357	1719.81	1339.35	1593.7	1162.8535	0.72965646	-0.454710727
sp|Q9NP92|RT30_HUMAN	MRPS30	" 28S ribosomal protein S30, mitochondrial OS=Homo sapiens GN=MRPS30 PE=1 SV=2"	3130	9	C	2879.43	1892.25	3165.73	2518.46	3022.58	2205.355	0.729626677	-0.454769617
sp|P00519-2|ABL1_HUMAN	ABL1	 Isoform IB of Tyrosine-protein kinase ABL1 OS=Homo sapiens GN=ABL1	1500	9	C	2316.22	1500.59	2447.78	1973.89	2382	1737.24	0.729319899	-0.455376337
sp|Q86TU7|SETD3_HUMAN	SETD3	 Histone-lysine N-methyltransferase setd3 OS=Homo sapiens GN=SETD3 PE=1 SV=1	1501	8	C	1691.02	1121.67	1927.51	1516.91	1809.265	1319.29	0.729185609	-0.455642007
sp|O94986-1|CE152_HUMAN	CEP152	 Isoform 1 of Centrosomal protein of 152 kDa OS=Homo sapiens GN=CEP152	4556	7	C	895.836	455.077	938.585	882.449	917.2105	668.763	0.729127065	-0.45575784
sp|Q8IXT5|RB12B_HUMAN	RBM12B	 RNA-binding protein 12B OS=Homo sapiens GN=RBM12B PE=1 SV=2	1143	13	C	3334.17	2118.73	3701.86	3010.99	3518.015	2564.86	0.729064543	-0.455881554
sp|Q6P2C8-2|MED27_HUMAN	MED27	 Isoform 2 of Mediator of RNA polymerase II transcription subunit 27 OS=Homo sapiens GN=MED27	7072	4	C	1662.06	862.177	1612.13	1524.8	1637.095	1193.4885	0.729028248	-0.455953378
sp|P49821-2|NDUV1_HUMAN	NDUFV1	" Isoform 2 of NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens GN=NDUFV1"	582	27	C	10806.8	7417.31	12073.5	9262.13	11440.15	8339.72	0.728986945	-0.456035116
sp|Q9UG63|ABCF2_HUMAN	ABCF2	 ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2	4052	29	C	9841.84	6480.56	11139.7	8812.26	10490.77	7646.41	0.728870235	-0.456266108
sp|Q5TH69|BIG3_HUMAN	ARFGEF3	 Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens GN=ARFGEF3 PE=1 SV=3	5642	8	C	1192.55	815.365	1372.61	1054.17	1282.58	934.7675	0.728818085	-0.456369335
sp|Q15652|JHD2C_HUMAN	JMJD1C	 Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens GN=JMJD1C PE=1 SV=2	291	24	C	5018.33	3212.1	5824.58	4689.19	5421.455	3950.645	0.72870567	-0.456591878
sp|Q13813-2|SPTA2_HUMAN	SPTAN1	" Isoform 2 of Spectrin alpha chain, brain OS=Homo sapiens GN=SPTAN1"	330	327	C	118810	82844.5	132071	99940	125440.5	91392.25	0.728570517	-0.456859479
sp|Q9UBW8|CSN7A_HUMAN	COPS7A	 COP9 signalosome complex subunit 7a OS=Homo sapiens GN=COPS7A PE=1 SV=1	5206	10	C	3628.31	2450.76	3940.06	3062.96	3784.185	2756.86	0.728521465	-0.456956615
sp|O95219|SNX4_HUMAN	SNX4	 Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1	4791	13	C	3015.88	1860.37	3377.74	2797.43	3196.81	2328.9	0.728507481	-0.456984308
sp|Q6P9B9|INT5_HUMAN	INTS5	 Integrator complex subunit 5 OS=Homo sapiens GN=INTS5 PE=1 SV=1	1339	4	C	952.31	500.114	1047.53	956.78	999.92	728.447	0.72850528	-0.456988665
sp|P09668|CATH_HUMAN	CTSH	 Pro-cathepsin H OS=Homo sapiens GN=CTSH PE=1 SV=4	6064	8	C	2451.29	1547.45	2688.56	2196.92	2569.925	1872.185	0.728497913	-0.457003255
sp|Q9ULS5|TMCC3_HUMAN	TMCC3	 Transmembrane and coiled-coil domains protein 3 OS=Homo sapiens GN=TMCC3 PE=2 SV=3	4117	7	C	1307.97	890.532	1443.62	1113.79	1375.795	1002.161	0.728423203	-0.457151217
sp|Q96RK0|CIC_HUMAN	CIC	 Protein capicua homolog OS=Homo sapiens GN=CIC PE=1 SV=2	270	16	C	4668.85	2932.48	5075.44	4165.31	4872.145	3548.895	0.728405045	-0.457187179
sp|Q02818|NUCB1_HUMAN	NUCB1	 Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4	4247	35	C	9051.1	6671.44	10620.7	7653.85	9835.9	7162.645	0.7282145	-0.457564627
sp|Q9P2R7-2|SUCB1_HUMAN	SUCLA2	" Isoform 2 of Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLA2"	2140	35	C	9342.48	5934.81	10367.9	8417.33	9855.19	7176.07	0.72815136	-0.457689722
sp|Q9NYF3|FA53C_HUMAN	FAM53C	 Protein FAM53C OS=Homo sapiens GN=FAM53C PE=1 SV=1	4003	5	C	1185.89	892.004	1462.68	1036.42	1324.285	964.212	0.728100069	-0.457791349
sp|Q9UPN4|AZI1_HUMAN	AZI1	 5-azacytidine-induced protein 1 OS=Homo sapiens GN=AZI1 PE=1 SV=3	283	13	C	4410.79	2836.26	4892.96	3934.44	4651.875	3385.35	0.727738815	-0.458507334
sp|Q9NWM3|CUED1_HUMAN	CUEDC1	 CUE domain-containing protein 1 OS=Homo sapiens GN=CUEDC1 PE=1 SV=1	6301	2	C	426.449	333.381	463.506	314.107	444.9775	323.744	0.727551393	-0.458878934
sp|P33908|MA1A1_HUMAN	MAN1A1	" Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens GN=MAN1A1 PE=1 SV=3"	3166	3	C	898.985	545.423	971.761	815.508	935.373	680.4655	0.727480374	-0.459019767
sp|Q9H1Z4|WDR13_HUMAN	WDR13	 WD repeat-containing protein 13 OS=Homo sapiens GN=WDR13 PE=1 SV=2	3298	8	C	982.775	585.791	1059.52	899.852	1021.1475	742.8215	0.727438005	-0.459103794
##sp|Q12797-3|ASPH_HUMAN	ASPH	 Isoform Junctin-1 of Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH	7097	1	C	564.574	451.323	719.821	482.818	642.1975	467.0705	0.727300402	-0.459376721
sp|Q86T24|KAISO_HUMAN	ZBTB33	 Transcriptional regulator Kaiso OS=Homo sapiens GN=ZBTB33 PE=1 SV=2	5753	4	C	1363.41	723.696	1470.1	1336.6	1416.755	1030.148	0.727117956	-0.459738672
sp|O75419|CDC45_HUMAN	CDC45	 Cell division control protein 45 homolog OS=Homo sapiens GN=CDC45 PE=1 SV=1	5842	2	C	380.037	202.338	421.421	380.377	400.729	291.3575	0.727068667	-0.45983647
sp|Q16877|F264_HUMAN	PFKFB4	" 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 OS=Homo sapiens GN=PFKFB4 PE=2 SV=6"	178	8	C	1693.26	1114.96	1823.14	1441.5	1758.2	1278.23	0.727010579	-0.459951737
sp|Q9Y548|YIPF1_HUMAN	YIPF1	 Protein YIPF1 OS=Homo sapiens GN=YIPF1 PE=2 SV=1	6176	1	C	592.993	419.711	701.101	520.091	647.047	469.901	0.726223906	-0.461513672
sp|Q9BPY3|F118B_HUMAN	FAM118B	 Protein FAM118B OS=Homo sapiens GN=FAM118B PE=1 SV=1	7062	2	C	256.951	121.699	246.283	243.526	251.617	182.6125	0.725755811	-0.462443876
sp|O75127|PTCD1_HUMAN	PTCD1	 Pentatricopeptide repeat-containing protein 1 OS=Homo sapiens GN=PTCD1 PE=1 SV=2	2202	2	C	985.749	755.967	1146.52	791.362	1066.1345	773.6645	0.725672511	-0.462609474
sp|Q9H3H1|MOD5_HUMAN	TRIT1	" tRNA dimethylallyltransferase, mitochondrial OS=Homo sapiens GN=TRIT1 PE=1 SV=1"	3004	6	C	920.13	536.225	1013.39	866.72	966.76	701.4725	0.72559115	-0.462771236
sp|P46939|UTRO_HUMAN	UTRN	 Utrophin OS=Homo sapiens GN=UTRN PE=1 SV=2	723	88	C	28466.5	19258.4	32599.9	25035.7	30533.2	22147.05	0.725343233	-0.463264254
sp|Q92997|DVL3_HUMAN	DVL3	 Segment polarity protein dishevelled homolog DVL-3 OS=Homo sapiens GN=DVL3 PE=1 SV=2	1082	5	C	1160.36	684.634	1266	1075.2	1213.18	879.917	0.725297977	-0.46335427
sp|Q9BUB7|TMM70_HUMAN	TMEM70	" Transmembrane protein 70, mitochondrial OS=Homo sapiens GN=TMEM70 PE=1 SV=2"	1925	8	C	3298.23	1992.41	3601.47	3009.94	3449.85	2501.175	0.725009783	-0.463927632
sp|Q8N5G2|MACOI_HUMAN	TMEM57	 Macoilin OS=Homo sapiens GN=TMEM57 PE=1 SV=1	3134	5	C	1373.52	995.49	1597.63	1158.07	1485.575	1076.78	0.724823721	-0.464297923
sp|Q7Z6E9-2|RBBP6_HUMAN	RBBP6	 Isoform 2 of E3 ubiquitin-protein ligase RBBP6 OS=Homo sapiens GN=RBBP6	97	7	C	2468.06	1907.63	2922.94	1999.82	2695.5	1953.725	0.724809868	-0.464325497
sp|O15269|SPTC1_HUMAN	SPTLC1	 Serine palmitoyltransferase 1 OS=Homo sapiens GN=SPTLC1 PE=1 SV=1	47	22	C	4961.01	2706.93	5073.63	4562.49	5017.32	3634.71	0.724432566	-0.465076693
sp|Q68DH5|LMBD2_HUMAN	LMBRD2	 LMBR1 domain-containing protein 2 OS=Homo sapiens GN=LMBRD2 PE=1 SV=1	5521	2	C	344.73	180.458	371.757	338.504	358.2435	259.481	0.724314607	-0.465311624
sp|Q13190-2|STX5_HUMAN	STX5	 Isoform 2 of Syntaxin-5 OS=Homo sapiens GN=STX5	3163	14	C	3460.97	2436.39	4089.56	3029.76	3775.265	2733.075	0.723942558	-0.466052866
sp|O75150|BRE1B_HUMAN	RNF40	 E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens GN=RNF40 PE=1 SV=4	542	28	C	7756	5023.11	8616.57	6829.48	8186.285	5926.295	0.723929719	-0.466078451
sp|Q9BUE0|MED18_HUMAN	MED18	 Mediator of RNA polymerase II transcription subunit 18 OS=Homo sapiens GN=MED18 PE=1 SV=1	1457	4	C	1441.04	689.775	1422.89	1383.28	1431.965	1036.5275	0.723849745	-0.466237838
sp|Q6IN85-2|P4R3A_HUMAN	SMEK1	 Isoform 2 of Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens GN=SMEK1	1184	9	C	1893.49	1232.08	2124.49	1676.28	2008.99	1454.18	0.723836356	-0.466264524
sp|Q5SWX8|ODR4_HUMAN	ODR4	 Protein odr-4 homolog OS=Homo sapiens GN=ODR4 PE=2 SV=1	5057	10	C	2526.97	1605.54	2830.56	2272.16	2678.765	1938.85	0.723785028	-0.46636683
sp|Q8N766-2|K0090_HUMAN	KIAA0090	 Isoform 2 of Uncharacterized protein KIAA0090 OS=Homo sapiens GN=KIAA0090	757	32	C	9373.89	5959.67	10341.1	8309.67	9857.495	7134.67	0.723781245	-0.466374371
sp|O95478|NSA2_HUMAN	NSA2	 Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens GN=NSA2 PE=1 SV=1	3036	5	C	975.147	706.266	1132.64	818.308	1053.8935	762.287	0.723305533	-0.467322907
sp|O00116|ADAS_HUMAN	AGPS	" Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1"	469	38	C	11318	8165.85	12806.9	9281.92	12062.45	8723.885	0.723226625	-0.467480305
sp|P52657|T2AG_HUMAN	GTF2A2	 Transcription initiation factor IIA subunit 2 OS=Homo sapiens GN=GTF2A2 PE=1 SV=1	1871	3	C	825.426	538.807	940.424	738.113	882.925	638.46	0.723119178	-0.467694657
sp|Q14696|MESD_HUMAN	MESDC2	 LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2	3380	19	C	8051.38	5794.81	9385.83	6811.3	8718.605	6303.055	0.722943063	-0.468046067
sp|P16383-2|GCF_HUMAN	TCF9	 Isoform 2 of GC-rich sequence DNA-binding factor OS=Homo sapiens GN=TCF9	2816	10	C	1444.67	964.738	1656.73	1277.09	1550.7	1120.914	0.722843877	-0.468244014
sp|P14316|IRF2_HUMAN	IRF2	 Interferon regulatory factor 2 OS=Homo sapiens GN=IRF2 PE=1 SV=2	6189	3	C	1313.15	963.966	1508.08	1074.35	1410.615	1019.158	0.722491963	-0.468946556
sp|Q5JUR7|CM027_HUMAN	C13orf27	 Uncharacterized protein C13orf27 OS=Homo sapiens GN=C13orf27 PE=2 SV=1	5450	2	C	358.302	180.551	367.001	343.42	362.6515	261.9855	0.7224167	-0.46909685
sp|Q96JB5|CK5P3_HUMAN	CDK5RAP3	 CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens GN=CDK5RAP3 PE=1 SV=2	3168	20	C	4921.55	3012.21	5471.93	4495.86	5196.74	3754.035	0.722382686	-0.46916478
sp|P62341|SELT_HUMAN	SELT	 Selenoprotein T OS=Homo sapiens GN=SELT PE=2 SV=2	6329	2	C	473.185	333.644	428.396	317.618	450.7905	325.631	0.722355507	-0.469219062
tr|E9PSI1|E9PSI1_HUMAN	TM9SF1	 Uncharacterized protein OS=Homo sapiens GN=TM9SF1 PE=4 SV=1	1481	11	C	3375.15	2191.54	3739.87	2947.88	3557.51	2569.71	0.72233388	-0.469262256
sp|Q8TB96|TIP_HUMAN	ITFG1	 T-cell immunomodulatory protein OS=Homo sapiens GN=ITFG1 PE=1 SV=1	6466	12	C	2744.04	1811.49	3244.81	2514.2	2994.425	2162.845	0.72229059	-0.46934872
sp|Q6P1J9|CDC73_HUMAN	CDC73	 Parafibromin OS=Homo sapiens GN=CDC73 PE=1 SV=1	2594	19	C	5332.47	2919.7	5724.89	5064.76	5528.68	3992.23	0.722094605	-0.469740231
sp|P15407|FOSL1_HUMAN	FOSL1	 Fos-related antigen 1 OS=Homo sapiens GN=FOSL1 PE=1 SV=1	2127	12	C	3902.46	2826.56	4583.63	3296.42	4243.045	3061.49	0.721531353	-0.470866009
sp|Q8NBZ7-2|UXS1_HUMAN	UXS1	 Isoform 2 of UDP-glucuronic acid decarboxylase 1 OS=Homo sapiens GN=UXS1	6348	7	C	1249.08	907.502	1524.25	1093.01	1386.665	1000.256	0.721339329	-0.471250011
sp|O95251|MYST2_HUMAN	MYST2	 Histone acetyltransferase MYST2 OS=Homo sapiens GN=MYST2 PE=1 SV=1	5431	4	C	571.284	377.435	694.635	535.667	632.9595	456.551	0.721295754	-0.471337163
sp|Q4J6C6-4|PPCEL_HUMAN	PREPL	 Isoform 4 of Prolyl endopeptidase-like OS=Homo sapiens GN=PREPL	3866	27	C	6597.9	4666.37	7855.64	5758.34	7226.77	5212.355	0.721256523	-0.471415634
sp|P35232|PHB_HUMAN	PHB	 Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1	162	43	C	14004.4	9656.23	15616	11706.6	14810.2	10681.415	0.721220173	-0.471488345
sp|Q8TAE8|G45IP_HUMAN	GADD45GIP1	 Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1	45	15	C	3323.44	2108.36	3697.57	2953.04	3510.505	2530.7	0.720893433	-0.472142088
sp|Q15022|SUZ12_HUMAN	SUZ12	 Polycomb protein SUZ12 OS=Homo sapiens GN=SUZ12 PE=1 SV=3	2078	7	C	1718.14	1160.37	2000.16	1519.03	1859.15	1339.7	0.720598123	-0.472733201
sp|P38398-2|BRCA1_HUMAN	BRCA1	 Isoform 2 of Breast cancer type 1 susceptibility protein OS=Homo sapiens GN=BRCA1	3123	5	C	846.674	516.391	930.306	763.966	888.49	640.1785	0.720524148	-0.472881313
sp|Q9UEE9|CFDP1_HUMAN	CFDP1	 Craniofacial development protein 1 OS=Homo sapiens GN=CFDP1 PE=1 SV=1	4969	7	C	2722.22	2038.41	3285.26	2290	3003.74	2164.205	0.720503439	-0.472922778
sp|Q96HH9|GRAM3_HUMAN	GRAMD3	 GRAM domain-containing protein 3 OS=Homo sapiens GN=GRAMD3 PE=1 SV=1	855	3	C	429.386	254.284	504.863	418.799	467.1245	336.5415	0.720453541	-0.473022695
sp|Q5TA31|RN187_HUMAN	RNF187	 E3 ubiquitin-protein ligase RNF187 OS=Homo sapiens GN=RNF187 PE=1 SV=2	690	5	C	1009.43	562.285	1108.72	963.621	1059.075	762.953	0.720395628	-0.473138669
sp|Q7KZ85|SPT6H_HUMAN	SUPT6H	 Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H PE=1 SV=2	2029	27	C	7391.38	5270.11	8421.46	6115.46	7906.42	5692.785	0.720020566	-0.473889981
sp|Q9H1J7|WNT5B_HUMAN	WNT5B	 Protein Wnt-5b OS=Homo sapiens GN=WNT5B PE=2 SV=2	3667	7	C	1701.74	1115.33	1796.96	1403.66	1749.35	1259.495	0.719978849	-0.47397357
sp|Q9H488|OFUT1_HUMAN	POFUT1	 GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens GN=POFUT1 PE=1 SV=1	4127	25	C	6842.33	4150.58	7565.25	6219.11	7203.79	5184.845	0.719738499	-0.474455265
sp|Q2QGD7-2|ZXDC_HUMAN	ZXDC	 Isoform 2 of Zinc finger protein ZXDC OS=Homo sapiens GN=ZXDC	3600	1	C	651.17	473.694	751.05	535.09	701.11	504.392	0.719419207	-0.475095419
sp|Q53FV1|ORML2_HUMAN	ORMDL2	 ORM1-like protein 2 OS=Homo sapiens GN=ORMDL2 PE=2 SV=2	6195	5	C	810.959	550.921	917.535	692.524	864.247	621.7225	0.719380571	-0.4751729
sp|P06865|HEXA_HUMAN	HEXA	 Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2	2206	33	C	12829.4	8555.12	13998	10740	13413.7	9647.56	0.71923183	-0.475471225
